location,epi_year,epi_week,last_day_of_epi_week,complete_epi_week,vaccine_dose,vaccinations_epi_week,total_vaccinations,pct_total_population
Peru,2022,27,2022-07-09,1,3,202540,19060783,56.33746172032644
Peru,2022,27,2022-07-09,1,4,317721,2448937,7.238259545423242
Peru,2022,28,2022-07-16,1,1,39015,29641845,87.61163211434439
Peru,2022,28,2022-07-16,1,2,63415,27849888,82.31519130748084
Peru,2022,28,2022-07-16,1,3,258250,19319033,57.10076454420698
Peru,2022,28,2022-07-16,1,4,413864,2862801,8.46150663120252
Peru,2022,29,2022-07-23,1,1,41114,29682959,87.7331516973106
Peru,2022,29,2022-07-23,1,2,65421,27915309,82.50855445962446
Peru,2022,29,2022-07-23,1,3,257355,19576388,57.86142203981115
Peru,2022,29,2022-07-23,1,4,438044,3300845,9.756221915554619
Peru,2022,30,2022-07-30,1,1,27152,29710111,87.81340415916542
Peru,2022,30,2022-07-30,1,2,43453,27958762,82.63698736419786
Peru,2022,30,2022-07-30,1,3,191338,19767726,58.42695480153683
Peru,2022,30,2022-07-30,1,4,281938,3582783,10.589538746374496
Peru,2022,31,2022-08-06,1,1,23079,29733190,87.88161816060719
Peru,2022,31,2022-08-06,1,2,35400,27994162,82.74161822563202
Peru,2022,31,2022-08-06,1,3,192640,19960366,58.99633585087797
Peru,2022,31,2022-08-06,1,4,218616,3801399,11.235696384885511
Peru,2022,32,2022-08-13,1,1,28187,29761377,87.96492974510562
Peru,2022,32,2022-08-13,1,2,44758,28038920,82.87390828484304
Peru,2022,32,2022-08-13,1,3,217397,20177763,59.63889052271983
Peru,2022,32,2022-08-13,1,4,246154,4047553,11.963247375435333
Peru,2022,33,2022-08-20,1,1,31669,29793046,88.05853298665247
Peru,2022,33,2022-08-20,1,2,50822,28089742,83.02412155150425
Peru,2022,33,2022-08-20,1,3,245953,20423716,60.36584742278523
Peru,2022,33,2022-08-20,1,4,256863,4304416,12.722450679406016
Peru,2022,34,2022-08-27,1,1,29936,29822982,88.14701404506752
Peru,2022,34,2022-08-27,1,2,48806,28138548,83.168376179277
Peru,2022,34,2022-08-27,1,3,234743,20658459,61.059671216729825
Peru,2022,34,2022-08-27,1,4,233053,4537469,13.411279384203045
Peru,2022,35,2022-09-03,1,1,16736,29839718,88.19648020599865
Peru,2022,35,2022-09-03,1,2,27527,28166075,83.24973701890124
Peru,2022,35,2022-09-03,1,3,137850,20796309,61.46711088477216
Peru,2022,35,2022-09-03,1,4,135021,4672490,13.810357450352804
Peru,2022,36,2022-09-10,1,1,15754,29855472,88.24304389501091
Peru,2022,36,2022-09-10,1,2,26035,28192110,83.32668799284018
Peru,2022,36,2022-09-10,1,3,128173,20924482,61.84594849501511
Peru,2022,36,2022-09-10,1,4,123662,4796152,14.175862014948025
Peru,2022,37,2022-09-17,1,1,15658,29871130,88.28932383931419
Peru,2022,37,2022-09-17,1,2,27079,28219189,83.4067246904892
Peru,2022,37,2022-09-17,1,3,127506,21051988,62.2228146706655
Peru,2022,37,2022-09-17,1,4,146694,4942846,14.60944166430459
Peru,2022,38,2022-09-24,1,1,14353,29885483,88.33174662897986
Peru,2022,38,2022-09-24,1,2,25006,28244195,83.48063427582882
Peru,2022,38,2022-09-24,1,3,114078,21166066,62.55999205514815
Peru,2022,38,2022-09-24,1,4,138771,5081617,15.019603508148645
Peru,2022,39,2022-10-01,1,1,14768,29900251,88.37539602337702
Peru,2022,39,2022-10-01,1,2,20676,28264871,83.5417457925241
Peru,2022,39,2022-10-01,1,3,93912,21259978,62.837565316701955
Peru,2022,39,2022-10-01,1,4,116538,5198155,15.364051850798756
Peru,2022,40,2022-10-08,1,1,10798,29911049,88.40731139178848
Peru,2022,40,2022-10-08,1,2,7335,28272206,83.56342566169414
Peru,2022,40,2022-10-08,1,3,35173,21295151,62.941525240126346
Peru,2022,40,2022-10-08,1,4,62931,5261086,15.550055374553361
Peru,2022,41,2022-10-15,1,1,23066,29934115,88.4754869694676
Peru,2022,41,2022-10-15,1,2,9378,28281584,83.59114397295204
Peru,2022,41,2022-10-15,1,3,47932,21343083,63.08319660877782
Peru,2022,41,2022-10-15,1,4,77583,5338669,15.779365434515121
Peru,2022,42,2022-10-22,1,1,32103,29966218,88.57037297355292
Peru,2022,42,2022-10-22,1,2,10271,28291855,83.6215017011382
Peru,2022,42,2022-10-22,1,3,45495,21388578,63.21766499976503
Peru,2022,42,2022-10-22,1,4,75335,5414004,16.002031139208405
Peru,2022,43,2022-10-29,1,1,37717,30003935,88.68185213176513
